,0
10,"별돌이…<하나로 뭉쳐2> 조아한다… 😁당구 편 보고 웃는다…농구 편 때처럼…🎱김가영 선수, 김진아 선수, 신정주 선수 등당구 드림팀과 함께하는 기부챌린지!<하나로 뭉쳐2> 당구 편이 보고 싶다면?!별돌이와 함께 본방사수ㄱㄱ하나TV(하나금융그룹 유튜브)에서2023년 7월 14일 오후 6시에 확인하세요!☺(구독과 알림설정으로 놓치지 않기로 해요~)#하나TV #하나로뭉쳐2 #당구 #당구대결#김가영 #김진아 #신정주 #퍼펙트큐#기부챌린지 #하나페이프로당구단 #하나카드#함께성장하며_행복을나누는금융 #하나금융그룹"
11,"#안유진시축 #대전하나시티즌 #7월12일 #홈경기두근두근~ 드디어 오늘!대전월드컵경기장에서대전의 딸 안유진의 깜짝 시축이 진행됩니다!⚽️ 대전하나시티즌 🆚 전북현대모터스⏰️ 일시: 2023년 7월 12일(수) 19:30🏟 장소: 대전월드컵경기장대전하나시티즌의 멋진 플레이도 보고,안유진 친필 사인볼 증정 등 다양한 이벤트도 놓치지 마세요~열심히 응원해주실거죠?!곧 경기장에서 만나요! 😍#안유진 #시축 #안유진시축 #대전하나시티즌 #축구#축구특별시 #대전축구 #하나은행 #하나금융그룹#Anyujin #Yujin"
12,"소상공인 사장님들께 힘을 드리는🌞하나 파워온 스토어!🌞하나은행이 경영에 어려움을 겪고 있는소상공인 분들을 위한 맞춤형 지원 사업을 실시합니다.✅ 지원대상- 시설지원 또는 디지털 마케팅이 필요한 전국의 소상공인✅ 신청기간- 고효율 에너지기기 지원: 2023. 7. 11(화) ~ 7. 25(화)까지- 에너지 절감 시스템 지원: 2023. 7. 26(수) ~ 8. 9(수)까지✅ 지원분야* 고효율 에너지 기기 지원 (최대 150만원 지원)* 에너지 절감시스템 지원 (최대 300만원 지원)* 디지털 전환 지원 (최대 150만원 지원)* 디지털 마케팅 지원 (컨설팅 2회, 광고비 최대 50만원 지원)❗지원자격 등 보다 자세한 사항은하나파워온 홈페이지를 확인해주세요! 😊https://www.hanapoweron.com/store#하나은행 #하나금융그룹 #하나파워온 #하나파워온스토어 #hanapoweron_store #소상공인지원 #소상공인응원 #소상공인"
13,"소상공인 사장님들께 힘을 드리는🌞하나 파워온 스토어!🌞하나은행이 경영에 어려움을 겪고 있는소상공인 분들을 위한 맞춤형 지원 사업을 실시합니다.✅ 지원대상- 시설지원 또는 디지털 마케팅이 필요한 전국의 소상공인✅ 신청기간- 고효율 에너지기기 지원: 2023. 7. 11(화) ~ 7. 25(화)까지- 에너지 절감 시스템 지원: 2023. 7. 26(수) ~ 8. 9(수)까지✅ 지원자격아래 2가지 요건 모두 충족하는 소상공인* 주된 업종별 평균 매출액 등이 소기업 규모 기준에 해당* 2023년 6월 30일 이전 개업하여 정상 영업중인 자※ 제외대상: 소상공인 정책자금 제외대상 업종 영위자(도박·사행성사업, 담배중개업, 일반유흥주점업 등) / 비영리법인 및 단체(사업자번호 가운데 2자리 80, 82, 83, 84, 85, 89)✅ 지원분야* 고효율 에너지 기기 지원 (최대 150만원 지원)* 에너지 절감시스템 지원 (최대 300만원 지원)* 디지털 전환 지원 (최대 150만원 지원)* 디지털 마케팅 지원 (컨설팅 2회, 광고비 최대 50만원 지원)✅ 신청방법하나 파워온 홈페이지에서 온라인 접수※ 홈페이지에서 필수 제출 서류를 확인하신 후 신청하시기 바랍니다.❗보다 자세한 사항은 하나파워온 홈페이지 참조https://www.hanapoweron.com/store───────────────────────#EVENT더 많은 소상공인 사장님이하나파워온 스토어의 혜택을 받을 수 있도록널리널리 소문내고, 응원해주세요!🎁 참여방법1. 본 게시물 좋아요 클릭!2. 아래 댓글에 소상공인 사장님을 위한 응원 메시지 작성하기3. 본인 인스타그램에 본 게시물 리그램하면 끝! [리그램시 필수 해시태그] #하나은행 #하나금융그룹 #하나파워온스토어🎁 기간: 2023. 7. 11(화)~ 8. 9(수)🎁 경품: BHC 뿌링클치킨+콜라 (30명 추첨)🎁 발표: 2023. 8. 30(수)───────────────────────#하나은행 #하나파워온스토어 #하나파워온#소상공인 #소상공인지원 #소상공인응원 #하나금융그룹※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.※ 경품은 사전 공지 없이 변경될 수 있습니다."
14,"#EVENT장마와 함께 찾아온 초복!😳☂그래도 초복은 초복이니까~!Q. 초복하면 떠오르는 음식?!👀힌트: ㅅㄱㅌ🍗맞히는 분들께는 별돌이가 선물로 치킨을 쏩니다!😋 (물론 추첨!)✔이벤트 참여 방법1⃣ 하나금융그룹 인스타 팔로우&게시글 좋아요를 한다! (필수)2⃣ 본 게시물 댓글에 퀴즈 정답을 적는다!✔이벤트 기간2023. 7. 11(화) ~ 7. 18(화)✔경품- 굽네 고추바사삭+콜라1.25L (5명 추첨 )✔당첨자발표2023. 7. 21(금) | 댓글 및 개별 DM※ 경품은 사전 공지 없이 변경될 수 있습니다.※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.#초복 #복날이벤트 #댓글이벤트 #팔로우#함께성장하며_행복을나누는금융 #하나금융그룹"
15,"#성수국제공항 #팝업스토어 #트래블로그 세상에 하나뿐인 공항, ✈️@성수국제공항에서 만나요! 🙋‍♂️성수국제공항에서 떠나는 설렘 가득 여행, 지금 이륙합니다! 핫해도 너무 핫해~!!😎─────────────────>>✔️ 오픈기간: 2023. 7. 7(금) ~ 7.16(일)✔️ 운영시간: 12:00~ 21:00 ✔️ 운영장소: 서울 성동구 성수동 쎈느(Scène)─────────────────>>떠나볼까, 트래블로그와 함께하는 여행으로~? 💚#하나금융그룹 #트래블로그 #TRAVLOG#팝업스토어 #성수동핫플 #여행#트래블로그팝업 #안유진 #Anyujin #아이브"
16,"#팔로우이벤트하나금융그룹 팔로우해주라. 쉽지?🤨별돌이는 염치 따위 몰라⭐[🎉 #EVENT]✔ 참여방법하나금융그룹(@hanafn.official) 팔로우하고댓글에 “팔로우 완료!” 남기면 이벤트 참여 완료(* 본 게시물 좋아요 필수!)✔ 기간: 2023. 7. 5(수) ~ 7. 12(수)✔ 경품: BHC 뿌링클+콜라 1.25L (5명)✔ 발표: 2023. 7. 14(금) 개별DM& 본 게시물 댓글 발표※ 당첨자의 DM 차단으로 메시지 발신이 안될 경우 당첨에서 제외될 수 있습니다.※ 동일인이 여러 계정으로 중복 당첨된 경우, 1개를 제외한 나머지 당첨 건은 취소될 수 있습니다.※ 경품은 사전 공지없이 변경될 수 있습니다.#인스타그램팔로우 #팔로우 #이벤트 #별돌이#함께성장하며_행복을나누는금융 #하나금융그룹"
17,"안녕하십니까? 하나금융그룹 회장 함영주 입니다.여름철 간편 근무복을 착용하여 에너지 사용량을 줄이는‘쿨 코리아 챌린지’에 안병덕 코오롱 부회장님에 이어 동참하게 되었습니다.때이른 더위가 찾아오고, 올 여름 유례가 없는 폭염이 예상된다고 합니다.여름철 가벼운 옷차림으로 체감온도가 3도 가량 낮아질 수 있습니다.쿨비즈의 착용으로 에어컨 사용을 줄이고에너지를 절약하여 지구 온도를 낮출 수 있도록저를 비롯한 모든 하나금융그룹 임직원이 노력하겠습니다.이번 캠페인에 많은 분들이 함께할 수 있기를 희망하면서박종복 SC제일은행장님과 윤홍근 제너시스BBQ 회장님께릴레이를 제안 드립니다.감사합니다. #쿨코리아챌린지 #쿨비즈 #함께성장하며_행복을나누는금융 #하나금융그룹"
18,"#한승수선수 #우승기념 #댓글이벤트⛳️하나금융 골프단 소속 한승수 선수가내셔널타이틀 대회인 <코오롱 한국오픈>에서'와이어 투 와이어'로 우승을 차지했습니다!!!1~4라운드 내내 한 번도 선두를 내주지 않고단독선두로 마친 퍼펙트 와이어투와이어 우승은1987년 이후 36년 만이자, 한국오픈 통산 4번째 기록입니다.🏆 KPGA 통산 2승 달성! 상금 랭킹 1위 도약🏆 국내 대회 역대 최고 우승상금 5억원 획득!🏆 메이저대회 '디오픈 챔피언십' 출전권 획득!#EVENT유일한 언더파로 압도적인 경기를 펼친한승수 선수의 우승을 댓글로 축하해주세요!💚✔️ 이벤트 기간: 2023.06.27(화) ~ 07.02(일)✔️ 이벤트 경품:  - 한승수 선수 친필사인 모자 (3명) - 스타벅스 아이스 카페 아메리카노 T(20명)✔️ 당첨자 발표: 2023.07.06(목) | 본 게시물 댓글#한승수 #한승수프로 #한승수선수#골프 #골프대회 #한국오픈 #함께성장하며_행복을나누는금융 #하나금융그룹"
19,내 얘기 같다면...좋아요 꾹! 🥹❤️월급이 있었는데요..없었습니다..작고 소중한 내 월급😑잠깐이지만 즐거웠다…💸#작고_소중한_내_월급 #스치듯안녕#월급님로그아웃 #퍼가요 #별돌이 #함께성장하며_행복을나누는금융 #하나금융그룹
